Id,UserId,ChallengeId,TeamId,IsSolved,Attempts,SolvedAt,StartedAt,AssignedVMId,VMConnectionDetails,UsedHints
31,1,26,,1,1,2026-04-23 15:39:23.8100916,2026-04-23 15:39:23.7931127,,,
32,1,27,,1,1,2026-04-23 17:14:16.2388023,2026-04-23 16:08:04.7485058,ff6bcbe4904af63e46fa155a7ed0435cbfe0d809b1ef493ffd046bc9764bc470,"{""ip"":""10.10.74.179"",""port"":32798}",
33,1,28,,1,2,2026-04-23 17:16:28.5830592,2026-04-23 17:15:19.250514,,,[0]
34,1,29,,0,0,,2026-04-23 17:16:47.9018183,0fc0ef4537bc922d9eeb62ba60775974cc4783817a09ac347d44cdcc749ef1e2,"{""ip"":""10.10.74.179"",""port"":32769}",
35,5,27,,1,1,2026-04-23 18:54:44.5326554,2026-04-23 18:49:56.1542262,ccbb05b054bb5a149bdd0cc2c2be4a166d3712b918fc0e08754780fbe7299ee8,"{""ip"":""10.10.74.179"",""port"":32771}",
36,5,26,,1,1,2026-04-23 18:54:23.2155588,2026-04-23 18:54:23.2142411,,,
37,7,26,,1,3,2026-04-23 20:31:52.3645554,2026-04-23 20:30:58.4404747,,,
38,6,26,1,1,0,2026-04-23 20:31:52.4080932,2026-04-23 20:31:52.4080912,,,
39,6,27,,1,1,2026-04-23 20:34:42.5803597,2026-04-23 20:34:42.5800702,,,
40,7,27,1,1,1,2026-04-23 20:34:42.5844922,2026-04-23 20:34:42.5844912,,,
